ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU17940		2.935532234	1.009278351									6.109204368		3.625925926
OTU1796	7.863453815	5.871064468		3.059375	2	4.601645123			21.85964912					
OTU1797	3.931726908		11.10206186		5		3.007680492							
OTU1800	7.863453815		4.037113402		8	4.601645123								
OTU1814	3.931726908	2.935532234	6.055670103	15.296875	7			2.642375169						
OTU18175			3.027835052	15.296875	1	2.300822562								3.625925926
OTU1822	3.931726908		4.037113402	6.11875	4		3.007680492							
OTU18244					2	2.300822562						3.054602184	4.424858757	
OTU1831	11.79518072	2.935532234	3.027835052	3.059375	2	2.300822562								
OTU1836	7.863453815		1.009278351	3.059375	2	2.300822562			3.122807018				2.212429379	
OTU18379	3.931726908	2.935532234	1.009278351	6.11875										
OTU1851	3.931726908			9.178125			6.015360983	2.642375169	3.122807018			3.054602184		
OTU1856			3.027835052			2.300822562					3.701323251	3.054602184		3.625925926
OTU1857	3.931726908		35.32474227	21.415625	29									
OTU1858	23.59036145	2.935532234	2.018556701	3.059375	2			5.284750337	3.122807018			3.054602184	2.212429379	10.87777778
OTU1862		2.935532234	4.037113402	3.059375	6	18.40658049	12.03072197	7.927125506	3.122807018				2.212429379	
OTU18639	3.931726908			3.059375	2									3.625925926
OTU18664			1.009278351					13.21187584				3.054602184	4.424858757	3.625925926
OTU18688						2.300822562		2.642375169	3.122807018			3.054602184		
OTU1870	3.931726908			3.059375		6.902467685	3.007680492	2.642375169			3.701323251			
OTU18733			1.009278351		2			2.642375169	3.122807018			3.054602184		
OTU1885	7.863453815		1.009278351	3.059375	1								2.212429379	
OTU1890		2.935532234	1.009278351	3.059375	5		6.015360983					3.054602184		
OTU1895			1.009278351		8		3.007680492						2.212429379	
OTU18998	3.931726908			3.059375			3.007680492		3.122807018					
OTU19008		2.935532234				2.300822562		2.642375169	3.122807018					
OTU19025		2.935532234			4			5.284750337	6.245614035					
OTU1903		5.871064468	3.027835052		2		9.023041475		6.245614035			3.054602184	2.212429379	
OTU19035	15.72690763		1.009278351		1			7.927125506	3.122807018					
OTU1905		2.935532234	1.009278351		8			2.642375169				3.054602184		
OTU1906		5.871064468	7.064948454	6.11875	4	6.902467685	3.007680492	5.284750337	3.122807018			6.109204368	2.212429379	
OTU1907						2.300822562	3.007680492		3.122807018				6.637288136	
OTU19095	3.931726908	2.935532234							6.245614035			3.054602184		
OTU1921			1.009278351			4.601645123	3.007680492	2.642375169						
OTU19215		2.935532234	1.009278351						3.122807018			3.054602184		
OTU1933			9.083505155	3.059375	7		3.007680492							
OTU19472	3.931726908			3.059375				2.642375169			3.701323251			
OTU1949			2.018556701	3.059375	1		3.007680492	2.642375169					2.212429379	
OTU1951		2.935532234			2		3.007680492		3.122807018		3.701323251			3.625925926
OTU1959			1.009278351			6.902467685	3.007680492		3.122807018				2.212429379	
OTU196	3.931726908		5.046391753		6	2.300822562	3.007680492						2.212429379	
OTU1960		2.935532234		12.2375	2		3.007680492							
OTU1962			6.055670103	3.059375	5		3.007680492							
OTU1965		2.935532234		3.059375	3						3.701323251	3.054602184		7.251851852
OTU1969					1	2.300822562	3.007680492	5.284750337					2.212429379	3.625925926
OTU1971	7.863453815		1.009278351		8	2.300822562	3.007680492							
OTU1977			2.018556701		1		3.007680492					9.163806552		
OTU198			2.018556701		2	2.300822562		2.642375169		4.870646766		6.109204368		3.625925926
OTU1980		2.935532234	3.027835052		4	4.601645123	3.007680492				3.701323251			
OTU1987					1		3.007680492	2.642375169			3.701323251			
OTU1994											3.701323251	6.109204368	2.212429379	7.251851852
OTU1998	7.863453815	2.935532234	2.018556701	9.178125	1		3.007680492	5.284750337						
OTU2002			1.009278351					2.642375169	9.368421053					3.625925926
OTU2007			2.018556701		2	4.601645123							2.212429379	3.625925926
OTU2012	3.931726908	8.806596702	7.064948454		7						3.701323251		2.212429379	
OTU2030					2		3.007680492			9.741293532	3.701323251	3.054602184	4.424858757	
OTU20358			2.018556701			2.300822562	3.007680492	5.284750337						
OTU2036	3.931726908		5.046391753		3	2.300822562								
OTU2040			1.009278351	3.059375	2	6.902467685	12.03072197							
OTU20453						11.50411281				4.870646766	3.701323251	3.054602184		
OTU2052		2.935532234		3.059375	3	2.300822562	3.007680492					15.27301092		
OTU2053			1.009278351		1	2.300822562		5.284750337			3.701323251		4.424858757	
OTU2063				6.11875	3							6.109204368	2.212429379	
OTU2065	3.931726908		1.009278351		2	9.203290247	3.007680492							
OTU2071			1.009278351			4.601645123	6.015360983	2.642375169	3.122807018			9.163806552		
OTU2072			3.027835052	3.059375	3								2.212429379	
OTU2073	3.931726908		1.009278351	6.11875	2	2.300822562		2.642375169	3.122807018				2.212429379	
OTU20898			2.018556701		1			2.642375169	3.122807018				2.212429379	
OTU20990			2.018556701	6.11875			3.007680492		9.368421053			3.054602184		
OTU2100	3.931726908	5.871064468	3.027835052	3.059375	3		3.007680492	2.642375169			7.402646503		2.212429379	
OTU21072						2.300822562	3.007680492	2.642375169					6.637288136	3.625925926
OTU21177			1.009278351	3.059375							3.701323251		2.212429379	7.251851852
OTU2119					1			2.642375169		4.870646766		3.054602184	2.212429379	
OTU212										4.870646766	7.402646503		2.212429379	3.625925926
OTU21215	3.931726908		2.018556701		1						3.701323251		4.424858757	
OTU2128				3.059375		2.300822562		5.284750337			3.701323251		2.212429379	
OTU2135	3.931726908		2.018556701	6.11875	2	4.601645123		5.284750337	12.49122807	4.870646766			2.212429379	3.625925926
OTU2139										4.870646766		3.054602184	17.69943503	7.251851852
